Name,KM,Fuel Type,Manufacturing Year,Registration Year,No of Owners,Transmission,Color,Location,Engine Capacity (cc),Mileage (kmpl),Length (mm),Width (mm),Height (mm),Wheelbase (mm),Seating Capacity,Fuel Tank Capacity (L),Seat Belt Warning,Heater,Cruise Control,Child Safety Lock,Speed Sensing Door Lock,Rain-sensing Wipers,Rear Wiper,New Car Price (Lakh),Old Car Price (Lakh),IMG
2015 Hyundai Eon Era +,118621,Petrol,2015,2015,Second,Manual,White,"Mumatpura, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,1,0,1,0,0,0,4.31,1.72,https://imgd.aeplcdn.com/640X480/vimages/202605/4543237_138023_1_1778142432985.jpg?qp=80&fit=true
2014 Hyundai Eon Era +,113407,Petrol,2014,2014,First,Manual,Silver,"Mumatpura, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,1,0,1,0,0,0,4.31,1.86,https://imgd.aeplcdn.com/640X480/vimages/202605/4538193_138023_1_1777931427996.jpg?qp=80&fit=true
2016 Hyundai Eon Era +,54882,Petrol,2016,2016,First,Manual,White,"Gota, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,1,0,1,0,0,0,4.31,2.4,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783402442366.jpg?qp=80&fit=true
2013 Hyundai Eon D-Lite +,48258,Petrol,2013,2013,First,Manual,White,"Gota, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,0,0,1,0,0,0,4.16,1.86,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783090924168.jpg?qp=80&fit=true
2015 Hyundai Eon Era +,70499,Petrol,2015,2015,First,Manual,White,"Gota, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,1,0,1,0,0,0,4.31,2.18,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782474422521.jpg?qp=80&fit=true
2017 Hyundai Eon Era +,75084,Petrol,2017,2017,First,Manual,Red,"Mumatpura, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,1,0,1,0,0,0,4.31,2.58,https://imgd.aeplcdn.com/640X480/vimages/202607/4671222_138023_1_1783873325058.jpg?qp=80&fit=true
2016 Hyundai Eon D-Lite +,32727,Petrol,2016,2016,First,Manual,White,"Gota, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,0,0,1,0,0,0,4.16,2.36,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783402981417.jpg?qp=80&fit=true
2013 Hyundai Eon Era +,62934,Petrol,2013,2013,Second,Manual,Silver,"Enasan, Ahmedabad",814.0,21.1,3495,1550,1500,2380,5,32.0,0,1,0,1,0,0,0,4.31,1.57,https://imgd.aeplcdn.com/640X480/vimages/202603/4465159_119938_1_1774633805187.jpg?qp=80&fit=true
2015 Hyundai Eon 1.0 Kappa Magna + [2014-2016],113517,Petrol,2015,2015,First,Manual,Silver,"Mumatpura, Ahmedabad",998.0,20.3,3515,1500,1510,2380,5,32.0,0,1,0,1,0,0,0,4.75,2.2,https://imgd.aeplcdn.com/640X480/vimages/202605/4543238_138023_1_1778142487151.jpg?qp=80&fit=true
2023 Hyundai Exter SX (O) Connect 1.2 AMT,18000,Petrol,2023,2023,Second,Automatic,Maroon,"Thaltej, Ahmedabad",1197.0,19.2,3815,1710,1631,2450,5,37.0,1,1,1,1,1,0,1,11.31,7.21,https://imgd.aeplcdn.com/640X480/vimages/202606/4602780_6434_1_1780819453562.jpg?qp=80&fit=true
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,28985,Petrol,2022,2022,First,Manual,Blue,"Gota, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,7.69,5.87,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780464906102.jpg?qp=80&fit=true
2022 Hyundai Grand i10 NIOS Sportz AMT 1.2 Kappa VTVT,17690,Petrol,2022,2022,First,Automatic,Grey,"Mumatpura, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,8.37,6.32,https://imgd.aeplcdn.com/640X480/vimages/202607/4659970_138023_1_1783346407322.jpg?qp=80&fit=true
2023 Hyundai Grand i10 NIOS Sportz Petrol Manual,14558,Petrol,2023,2023,First,Manual,White,"Gota, Ahmedabad",1197.0,18.0,3815,1680,1520,2450,5,37.0,1,1,1,1,1,0,0,7.94,6.09,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783400881892.jpg?qp=80&fit=true
2019 Hyundai Grand i10 NIOS Magna 1.2 Kappa VTVT,20631,Petrol,2019,2019,First,Manual,Silver,"Enasan, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,6.95,4.65,https://imgd.aeplcdn.com/640X480/vimages/202606/4624808_119938_1_1781805185854.jpg?qp=80&fit=true
2023 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG [2023],54856,CNG,2023,2023,First,Manual,White,"Kalupur, Ahmedabad",1197.0,,3815,1680,1520,2450,5,60.0,1,1,0,1,1,0,0,9.42,6.73,https://imgd.aeplcdn.com/640X480/vimages/202606/4578937_7888_1_1781686810852.jpg?qp=80&fit=true
2023 Hyundai Grand i10 NIOS Sportz Petrol Manual,36611,Petrol,2023,2023,First,Manual,Green,"Mumatpura, Ahmedabad",1197.0,18.0,3815,1680,1520,2450,5,37.0,1,1,1,1,1,0,0,7.94,5.85,https://imgd.aeplcdn.com/640X480/vimages/202607/4674953_138023_1_1784043065040.jpg?qp=80&fit=true
2022 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,12926,Petrol,2022,2022,First,Manual,White,"Enasan, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,7.69,5.97,https://imgd.aeplcdn.com/640X480/vimages/202606/4644410_119938_1_1782656825549.jpg?qp=80&fit=true
2020 Hyundai Grand i10 NIOS Sportz 1.2 Kappa VTVT,40064,Petrol,2020,2020,First,Manual,Blue,"Gota, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,7.69,5.15,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780727585129.jpg?qp=80&fit=true
2021 Hyundai Grand i10 NIOS Asta 1.2 Kappa VTVT,37517,Petrol,2021,2021,First,Manual,Blue,"Gota, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,1,8.5,5.93,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782476642688.jpg?qp=80&fit=true
2019 Hyundai Grand i10 NIOS Magna 1.2 Kappa VTVT,64000,Petrol,2019,2019,First,Manual,Silver,"Ambli, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,6.95,4.42,https://imgd.aeplcdn.com/640X480/vimages/202607/4663152_16599_1_1783506040942.jpg?qp=80&fit=true
2021 Hyundai Grand i10 NIOS Magna 1.2 Kappa VTVT,100896,Petrol,2021,2021,First,Manual,Silver,"Enasan, Ahmedabad",1197.0,21.0,3805,1680,1520,2450,5,37.0,1,1,0,1,1,0,0,6.95,4.6,https://imgd.aeplcdn.com/640X480/vimages/202606/4628424_119938_1_1781957285054.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],46033,Petrol,2016,2016,First,Automatic,White,"Gota, Ahmedabad",1197.0,16.95,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,1,7.4,4.3,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1782921964937.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],72468,Petrol,2016,2016,First,Manual,White,"Enasan, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.33,3.7,https://imgd.aeplcdn.com/640X480/vimages/202607/4669577_119938_1_1783777325407.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Asta 1.2 Kappa VTVT,84795,Petrol,2017,2017,Third,Manual,Silver,"Gota, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,1,7.55,3.66,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783090622708.jpg?qp=80&fit=true
2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],41502,Petrol,2018,2018,First,Manual,White,"Mumatpura, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.69,4.37,https://imgd.aeplcdn.com/640X480/vimages/202607/4656553_138023_1_1783162985110.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],97872,Petrol,2016,2016,First,Manual,Grey,"Gota, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,1,7.13,3.74,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782750242701.jpg?qp=80&fit=true
2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],80431,Petrol,2015,2015,First,Manual,Blue,"Mumatpura, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.31,3.45,https://imgd.aeplcdn.com/640X480/vimages/202605/4550658_138023_1_1778500205103.jpg?qp=80&fit=true
2019 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2017-2020],42487,Petrol,2019,2019,First,Manual,Silver,"Gota, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.06,4.71,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783401182917.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],79998,Petrol,2016,2016,First,Manual,White,"Enasan, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.33,3.71,https://imgd.aeplcdn.com/640X480/vimages/202607/4664280_119938_1_1783577165062.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],46143,Petrol,2017,2017,First,Manual,White,"Gota, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.33,4.11,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1779785943235.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],75812,Petrol,2016,2016,Second,Manual,Red,"Enasan, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,5.84,3.32,https://imgd.aeplcdn.com/640X480/vimages/202607/4670104_119938_1_1783830545042.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],50227,Petrol,2017,2017,First,Automatic,White,"Mumatpura, Ahmedabad",1197.0,17.49,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,8.03,4.55,https://imgd.aeplcdn.com/640X480/vimages/202607/4669024_138023_1_1783762805387.jpg?qp=80&fit=true
2019 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2017-2020],50353,Petrol,2019,2019,Third,Manual,White,"Gota, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.06,4.06,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783090085347.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Magna 1.1 CRDi [2016-2017],72207,Diesel,2016,2016,First,Manual,White,"Enasan, Ahmedabad",1120.0,24.0,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.83,3.82,https://imgd.aeplcdn.com/640X480/vimages/202604/4491356_119938_1_1775741585411.jpg?qp=80&fit=true
2018 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2017-2020],103541,Petrol,2018,2018,First,Manual,Red,"Gota, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.06,3.97,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1781152682347.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,36818,Petrol,2017,2017,Second,Automatic,Grey,"Gota, Ahmedabad",1197.0,17.49,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.44,4.12,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782479942093.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],37849,Petrol,2017,2017,First,Automatic,Grey,"Gota, Ahmedabad",1197.0,17.49,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,8.03,4.59,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782822243405.jpg?qp=80&fit=true
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],116984,Petrol,2015,2015,First,Manual,Red,"Gota, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,5.84,3.1,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1779275463136.jpg?qp=80&fit=true
2018 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],45371,Petrol,2018,2018,First,Manual,Grey,"Gota, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.69,4.37,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783401362937.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],46405,Petrol,2016,2016,First,Manual,Grey,"Enasan, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.33,3.84,https://imgd.aeplcdn.com/640X480/vimages/202607/4670156_119938_1_1783834385408.jpg?qp=80&fit=true
2016 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],56500,Petrol,2016,2016,Second,Manual,Grey,"Mumatpura, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,5.84,3.33,https://imgd.aeplcdn.com/640X480/vimages/202605/4554750_138023_1_1778680805585.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2017-2020],40212,Petrol,2017,2017,First,Manual,White,"Mumatpura, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.06,4.32,https://imgd.aeplcdn.com/640X480/vimages/202607/4650621_138023_1_1782913085058.jpg?qp=80&fit=true
2018 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],90000,Diesel,2018,2018,First,Manual,Silver,"Behrampura, Ahmedabad",1186.0,24.95,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.82,4.62,https://imgd.aeplcdn.com/640X480/blur/image/used/ars9xlau58gf.jpg?qp=80&fit=true
2019 Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2017-2020],37642,Petrol,2019,2019,First,Manual,Grey,"Mumatpura, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.06,4.77,https://imgd.aeplcdn.com/640X480/vimages/202605/4553906_138023_1_1778662865170.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],57634,Petrol,2017,2017,First,Manual,White,"Enasan, Ahmedabad",1197.0,19.77,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.69,4.17,https://imgd.aeplcdn.com/640X480/vimages/202607/4668039_119938_1_1783708325642.jpg?qp=80&fit=true
2014 Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],75144,Petrol,2014,2014,Second,Manual,Black,"Gota, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,1,6.85,3.11,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783090023213.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Sportz (O) U2 1.2 CRDi [2017-2018],94123,Diesel,2017,2017,Second,Manual,White,"Mumatpura, Ahmedabad",1186.0,24.95,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.82,4.06,https://imgd.aeplcdn.com/640X480/vimages/202605/4551023_138023_1_1778512565612.jpg?qp=80&fit=true
2015 Hyundai Grand i10 Sports Edition 1.1 CRDi,97024,Diesel,2015,2015,First,Manual,Silver,"Enasan, Ahmedabad",1120.0,24.0,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,6.78,3.56,https://imgd.aeplcdn.com/640X480/vimages/202607/4672407_119938_1_1783943045181.jpg?qp=80&fit=true
2017 Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,49902,Petrol,2017,2017,Second,Automatic,Red,"Makarba, Ahmedabad",1197.0,17.49,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,7.44,4.11,https://imgd.aeplcdn.com/640X480/vimages/202606/4621537_6145_1_1781684422244.jpg?qp=80&fit=true
2015 Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],96776,Petrol,2015,2015,First,Manual,Silver,"Mumatpura, Ahmedabad",1197.0,18.9,3765,1660,1520,2425,5,43.0,1,1,0,1,0,0,0,5.84,3.16,https://imgd.aeplcdn.com/640X480/vimages/202605/4538054_138023_1_1777929451968.jpg?qp=80&fit=true
2014 Hyundai i10 1.1L iRDE Magna Special Edition,113062,Petrol,2014,2014,First,Manual,White,"Bopal, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.31,https://imgd.aeplcdn.com/640X480/vimages/202606/4622041_113237_1_1781694966054.jpg?qp=80&fit=true
2014 Hyundai i10 1.1L iRDE Magna Special Edition,58777,Petrol,2014,2014,First,Manual,Grey,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.53,https://imgd.aeplcdn.com/640X480/vimages/202605/4538167_138023_1_1777930888611.jpg?qp=80&fit=true
2013 Hyundai i10 1.1L iRDE Magna Special Edition,80510,Petrol,2013,2013,Second,Manual,White,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.06,https://imgd.aeplcdn.com/640X480/vimages/202605/4538473_138023_1_1777934374176.jpg?qp=80&fit=true
2014 Hyundai i10 1.1L iRDE Magna Special Edition,91613,Petrol,2014,2014,Second,Manual,White,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.32,https://imgd.aeplcdn.com/640X480/vimages/202605/4538169_138023_1_1777930936557.png?qp=80&fit=true
2015 Hyundai i10 1.1L iRDE Magna Special Edition,61054,Petrol,2015,2015,Second,Manual,White,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.62,https://imgd.aeplcdn.com/640X480/vimages/202605/4538171_138023_1_1777930988413.jpg?qp=80&fit=true
2013 Hyundai i10 Magna 1.2 Kappa2,88550,Petrol,2013,2013,First,Manual,White,"Gota, Ahmedabad",1197.0,20.63,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,4.96,2.13,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1780030208228.jpg?qp=80&fit=true
2015 Hyundai i10 1.1L iRDE Magna Special Edition,44023,Petrol,2015,2015,First,Manual,Silver,"Bopal, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.76,https://imgd.aeplcdn.com/640X480/vimages/202606/4639868_113237_1_1782468993512.jpg?qp=80&fit=true
2013 Hyundai i10 1.1L iRDE Magna Special Edition,119480,Petrol,2013,2013,First,Manual,Silver,"Enasan, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.08,https://imgd.aeplcdn.com/640X480/vimages/202607/4666943_119938_1_1783681505284.jpg?qp=80&fit=true
2014 Hyundai i10 Magna 1.2 Kappa2,48000,Petrol,2014,2014,First,Manual,White,"Ambli, Ahmedabad",1197.0,20.63,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,4.96,2.45,https://imgd.aeplcdn.com/640X480/vimages/202605/4553595_16599_1_1778658910685.jpg?qp=80&fit=true
2014 Hyundai i10 Magna 1.1 iRDE2 [2010-2017],84571,Petrol,2014,2014,First,Manual,White,"Gota, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.19,2.57,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783403764274.jpg?qp=80&fit=true
2013 Hyundai i10 1.1L iRDE Magna Special Edition,106698,Petrol,2013,2013,Second,Manual,White,"Enasan, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.06,https://imgd.aeplcdn.com/640X480/vimages/202606/4634242_119938_1_1782230526095.jpg?qp=80&fit=true
2015 Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],58004,Petrol,2015,2015,Second,Manual,White,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,1,1,0,1,0,0,1,5.53,2.86,https://imgd.aeplcdn.com/640X480/vimages/202605/4538508_138023_1_1777934485513.jpg?qp=80&fit=true
2014 Hyundai i10 Sportz 1.1 iRDE2 [2010--2017],74383,Petrol,2014,2014,First,Manual,Silver,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,1,1,0,1,0,0,1,5.53,2.79,https://imgd.aeplcdn.com/640X480/vimages/202606/4615050_138023_1_1781348705086.jpg?qp=80&fit=true
2013 Hyundai i10 1.1L iRDE Magna Special Edition,106698,Petrol,2013,2013,Second,Manual,White,"Mumatpura, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.06,https://imgd.aeplcdn.com/640X480/vimages/202605/4556167_138023_1_1778758745046.jpg?qp=80&fit=true
2015 Hyundai i10 1.1L iRDE Magna Special Edition,68844,Petrol,2015,2015,First,Manual,White,"Enasan, Ahmedabad",1086.0,19.81,3585,1595,1550,2380,5,35.0,0,1,0,1,0,0,0,5.32,2.71,https://imgd.aeplcdn.com/640X480/vimages/202604/4483806_119938_1_1775460727331.jpg?qp=80&fit=true
2015 Hyundai i20 Active 1.4 SX [2015-2016],91393,Diesel,2015,2015,Second,Manual,White,"Mumatpura, Ahmedabad",1396.0,21.19,3995,1760,1555,2570,5,45.0,1,1,0,1,0,0,1,10.73,4.59,https://imgd.aeplcdn.com/640X480/vimages/202605/4540528_138023_1_1777998725081.jpg?qp=80&fit=true
2022 Hyundai i20 N Line N8 1.0 Turbo DCT,32737,Petrol,2022,2022,First,Automatic,White,"Gota, Ahmedabad",998.0,20.2,3995,1775,1505,2580,5,37.0,1,1,1,1,1,0,1,13.79,9.16,https://imgd.aeplcdn.com/640X480/vimages/202605/0_165002_1_1778050622571.jpg?qp=80&fit=true
2023 Hyundai i20 N Line N8 1.0 Turbo DCT [2023-2025],17545,Petrol,2023,2023,First,Automatic,White,"Gota, Ahmedabad",998.0,14.6,3995,1775,1505,2580,5,37.0,1,1,1,1,1,0,1,14.06,10.22,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1780895645823.jpg?qp=80&fit=true
2025 Hyundai i20 N Line N8 Petrol Turbo Automatic,2021,Petrol,2025,2025,First,Automatic,Black,"Mumatpura, Ahmedabad",998.0,14.6,3995,1775,1505,2580,5,37.0,1,1,1,1,1,0,1,13.28,11.27,https://imgd.aeplcdn.com/640X480/vimages/202607/4674303_138023_1_1784027645113.jpg?qp=80&fit=true
2012 Hyundai i20 Magna (O) 1.2,124033,Petrol,2012,2012,Second,Manual,White,"Mumatpura, Ahmedabad",1197.0,18.15,3995,1710,1505,2525,5,45.0,1,1,0,1,0,0,0,6.08,1.96,https://imgd.aeplcdn.com/640X480/vimages/202605/4538194_138023_1_1777931454910.jpg?qp=80&fit=true
2012 Hyundai i20 Magna (O) 1.2,124033,Petrol,2012,2012,Second,Manual,White,"Enasan, Ahmedabad",1197.0,18.15,3995,1710,1505,2525,5,45.0,1,1,0,1,0,0,0,6.08,1.96,https://imgd.aeplcdn.com/640X480/vimages/202607/4656440_119938_1_1783161365847.jpg?qp=80&fit=true
2014 Hyundai i20 Sportz 1.2,61145,Petrol,2014,2014,First,Manual,Silver,"Jivraj Park, Ahmedabad",1197.0,18.15,3995,1710,1505,2525,5,45.0,1,1,0,1,0,1,0,6.7,3.45,https://imgd.aeplcdn.com/640X480/vimages/202607/4672429_133865_1_1783943581811.jpg?qp=80&fit=true
2013 Hyundai i20 Magna (O) 1.2,44674,Petrol,2013,2013,Second,Manual,Silver,"Mumatpura, Ahmedabad",1197.0,18.15,3995,1710,1505,2525,5,45.0,1,1,0,1,0,0,0,6.08,2.53,https://imgd.aeplcdn.com/640X480/vimages/202607/4661492_138023_1_1783420085176.jpg?qp=80&fit=true
2014 Hyundai Santro GLS,82584,Petrol,2014,2014,First,Manual,Silver,"Mumatpura, Ahmedabad",1086.0,17.92,3565,1525,1590,2380,5,35.0,0,1,0,1,0,0,0,4.51,2.03,https://imgd.aeplcdn.com/640X480/vimages/202607/4669732_138023_1_1783783925549.jpg?qp=80&fit=true
2021 Hyundai Santro Era Executive,35557,Petrol,2021,2021,First,Manual,Grey,"Enasan, Ahmedabad",1086.0,20.0,3610,1645,1560,2400,5,35.0,1,1,0,1,0,0,0,5.49,4.02,https://imgd.aeplcdn.com/640X480/vimages/202607/4667819_119938_1_1783696228094.jpg?qp=80&fit=true
2019 Hyundai Santro Sportz AMT [2018-2020],25145,Petrol,2019,2019,First,Automatic,Silver,"Gota, Ahmedabad",1086.0,20.3,3610,1645,1560,2400,5,35.0,1,1,0,1,0,0,0,6.51,4.24,https://imgd.aeplcdn.com/640X480/vimages/202607/0_165002_1_1783401362006.jpg?qp=80&fit=true
2019 Hyundai Santro Era Executive [2019-2020],37559,Petrol,2019,2019,First,Manual,White,"Enasan, Ahmedabad",1086.0,20.3,3610,1645,1560,2400,5,35.0,1,1,0,1,0,0,0,4.97,3.43,https://imgd.aeplcdn.com/640X480/vimages/202607/4666990_119938_1_1783682285051.jpg?qp=80&fit=true
2019 Hyundai Santro Asta [2018-2020],48735,Petrol,2019,2019,Second,Manual,White,"Gota, Ahmedabad",1086.0,20.3,3610,1645,1560,2400,5,35.0,1,1,0,1,1,0,1,6.35,3.86,https://imgd.aeplcdn.com/640X480/vimages/202606/0_165002_1_1782106685967.jpg?qp=80&fit=true
2017 Hyundai Tucson 2WD AT GLS Diesel,75206,Diesel,2017,2017,First,Automatic,Silver,"Makarba, Ahmedabad",1995.0,16.38,4475,1850,1660,2670,5,62.0,1,1,1,1,1,0,1,27.64,11.25,https://imgd.aeplcdn.com/640X480/vimages/202605/4570921_6145_1_1779359838607.jpg?qp=80&fit=true
2024 Hyundai Venue S (O) 1.0 Turbo Petrol DCT,23965,Petrol,2024,2024,Second,Automatic,Black,"Mumatpura, Ahmedabad",998.0,15.0,3995,1770,1617,2500,5,45.0,1,1,1,1,1,0,1,12.11,9.67,https://imgd.aeplcdn.com/640X480/vimages/202607/4674321_138023_1_1784027658180.jpg?qp=80&fit=true
